,ret_asx
463,-0.27432774308895347
464,-0.4361438350954927
465,1.8216125962878138
466,-0.9942416064305348
467,0.5151745428925381
468,0.50645676498835
469,0.5886445565055354
470,-0.41533313637618363
471,1.3608144717448312
472,0.23647103270239
473,-0.6659477255578139
474,0.282517093468293
475,0.6312784944144667
476,-0.49930443379100353
477,-0.3633394179992422
478,0.2613737608330169
479,0.46697177934493794
480,0.2177722255860104
481,-0.0775107403914177
482,-0.7092956651375104
483,0.23998811578280765
484,-0.26101303713872426
485,-0.1322716033847371
486,0.7014250950387435
487,0.14924039205919115
488,0.5650908688775047
489,-0.3297469799969477
490,-0.032732274376279236
491,-1.1224805855196252
492,-0.2893951169617992
493,-0.6572480161935346
494,-0.036470462539206494
495,0.9349367473618031
496,0.10836161561620372
497,0.5938771110001184
498,0.9109403936529148
499,0.46122830873400744
500,0.8079130629530695
501,0.27758720847028684
502,-0.14015970774874376
503,0.6262673123098139
504,-0.7051913320767156
505,0.46970615439256846
506,0.3254572776652864
507,-0.695788850027057
508,-0.30721990369713126
509,-0.09968050242150639
510,0.24902234313319838
511,-0.3018375778989224
512,-0.03229170516796387
513,0.5737749247279211
514,-0.9591048742915831
515,-0.17994127562541706
516,0.391910354803926
517,0.6215374026741216
518,0.014612405958658314
519,0.25683088964125744
520,0.3346382438282447
521,0.3074562577058515
522,-0.5634280303160821
523,0.8901562580382105
524,-0.5412679843850299
525,0.5961038939013008
526,-0.4221151592746608
